Название,Цена,Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м.),Сотки,Дата,Просмотрено
Отдельный дом · 3 комнаты · 70 м² · 2 сот.,46900000,Алматы,,1970.0,3,70.0,2,24 нояб.,16526
Часть дома · 4 комнаты · 140 м² · 2 сот.,48999000,Алматы,,,4,140.0,2,24 нояб.,1606
Отдельный дом · 5 комнат · 160 м² · 6 сот.,65000000,Алматы,,2011.0,5,160.0,6,24 нояб.,3333
Отдельный дом · 4 комнаты · 110 м² · 7.13 сот.,190000000,Алматы,,,4,110.0,7.13,24 нояб.,6062
Отдельный дом · 4 комнаты · 42.3 м² · 3.5 сот.,60000000,Алматы,,,4,42.3,3.5,24 нояб.,110
Часть дома · 3 комнаты · 50 м² · 2 сот.,46000000,Алматы,,1985.0,3,50.0,2,24 нояб.,2507
Отдельный дом · 6 комнат · 120 м² · 18 сот.,62500000,Алматы,,,6,120.0,18,24 нояб.,453
Отдельный дом · 5 комнат · 240 м² · 10 сот.,99000000,Алматы,,2014.0,5,240.0,10,24 нояб.,9120
Часть дома · 3 комнаты · 70 м² · 3 сот.,86900000,Алматы,,1930.0,3,70.0,3,24 нояб.,11286
Отдельный дом · 4 комнаты · 110 м² · 7.7 сот.,49000000,Алматы,,2018.0,4,110.0,7.7,24 нояб.,8958
Отдельный дом · 3 комнаты · 63 м² · 7 сот.,64500000,Алматы,,1993.0,3,63.0,7,24 нояб.,425
Отдельный дом · 5 комнат · 428 м² · 8.3 сот.,550000000,Алматы,,2023.0,5,428.0,8.3,24 нояб.,289
Часть дома · 4 комнаты · 82 м² · 2.7 сот.,30000000,Алматы,,1963.0,4,82.0,2.7,24 нояб.,5103
Часть дома · 4 комнаты · 71.9 м² · 3.84 сот.,26999999,Алматы,,1968.0,4,71.9,3.84,24 нояб.,2538
Отдельный дом · 4 комнаты · 188 м² · 3 сот.,159000000,Алматы,,2009.0,4,188.0,3,24 нояб.,1043
Отдельный дом · 4 комнаты · 250 м² · 5.5 сот.,350000000,Алматы,,2025.0,4,250.0,5.5,24 нояб.,702
Отдельный дом · 6 комнат · 256.5 м² · 3.75 сот.,142000000,Алматы,,2022.0,6,256.5,3.75,24 нояб.,18561
Отдельный дом · 6 комнат · 350 м² · 6 сот.,205000000,Алматы,,2022.0,6,350.0,6,24 нояб.,20141
Отдельный дом · 6 комнат · 380 м² · 15 сот.,231000000,Алматы,,,6,380.0,15,24 нояб.,5126
Отдельный дом · 28 комнат · 320 м² · 7 сот.,150000000,Алматы,,,28,320.0,7,24 нояб.,1228
Отдельный дом · 6 комнат · 325 м² · 10 сот.,222000000,Алматы,,2019.0,6,325.0,10,24 нояб.,2258
Отдельный дом · 4 комнаты · 66.7 м² · 8.51 сот.,49000000,Алматы,,,4,66.7,8.51,24 нояб.,1231
Отдельный дом · 6 комнат · 516 м² · 7 сот.,300000000,Алматы,,2009.0,6,516.0,7,24 нояб.,4702
Отдельный дом · 22 комнаты · 615 м² · 6 сот.,225000000,Алматы,,,22,615.0,6,24 нояб.,588
Отдельный дом · 6 комнат · 145 м² · 3 сот.,58000000,Алматы,,2015.0,6,145.0,3,24 нояб.,650
Отдельный дом · 3 комнаты · 78 м² · 1.85 сот.,25000000,Алматы,,2015.0,3,78.0,1.85,24 нояб.,2325
Отдельный дом · 7 комнат · 438.6 м² · 11.2 сот.,280000000,Алматы,Бостандыкский,,7,438.6,11.2,24 нояб.,12
Отдельный дом · 5 комнат · 110 м² · 6 сот.,42000000,Алматы,Алатауский,,5,110.0,6,24 нояб.,286
Отдельный дом · 4 комнаты · 220 м² · 7.5 сот.,130000000,Алматы,Медеуский,,4,220.0,7.5,24 нояб.,190
Отдельный дом · 5 комнат · 160 м² · 10 сот.,250000000,Алматы,,2011.0,5,160.0,10,24 нояб.,129
Часть дома · 6 комнат · 120 м² · 6 сот.,67000000,Алматы,,,6,120.0,6,24 нояб.,209
Отдельный дом · 3 комнаты · 182 м² · 8.2 сот.,100000000,Алматы,,2005.0,3,182.0,8.2,24 нояб.,88
"6-комнатный дом, 380 м²",418000000,Алматы,,2022.0,,,,24 нояб.,10828
Отдельный дом · 5 комнат · 214.2 м² · 6 сот.,65000000,Алматы,,2007.0,5,214.2,6,24 нояб.,195
Отдельный дом · 7 комнат · 350 м² · 7 сот.,250000000,Алматы,,2007.0,7,350.0,7,24 нояб.,2434
Отдельный дом · 3 комнаты · 83 м² · 6 сот.,52500000,Алматы,,1970.0,3,83.0,6,24 нояб.,136
Отдельный дом · 6 комнат · 300 м² · 14 сот.,280000000,Алматы,,2002.0,6,300.0,14,24 нояб.,89
Отдельный дом · 3 комнаты · 75 м² · 2.1 сот.,41000000,Алматы,,2016.0,3,75.0,2.1,24 нояб.,155
Отдельный дом · 7 комнат · 512 м² · 20 сот.,170000000,Алматы,,,7,512.0,20,24 нояб.,231
Отдельный дом · 8 комнат · 335 м² · 6 сот.,130000000,Алматы,,2003.0,8,335.0,6,24 нояб.,148
Отдельный дом · 6 комнат · 274 м² · 18 сот.,150000000,Алматы,,2005.0,6,274.0,18,24 нояб.,264
Отдельный дом · 5 комнат · 400 м² · 8 сот.,160000000,Алматы,,2015.0,5,400.0,8,24 нояб.,295
Отдельный дом · 7 комнат · 300 м² · 12 сот.,200000000,Алматы,,,7,300.0,12,24 нояб.,243
Отдельный дом · 6 комнат · 350 м² · 16 сот.,145000000,Алматы,,2009.0,6,350.0,16,24 нояб.,252
Отдельный дом · 6 комнат · 180 м² · 6 сот.,225000000,Алматы,,2011.0,6,180.0,6,24 нояб.,133
Отдельный дом · 7 комнат · 240 м² · 6 сот.,150000000,Алматы,,2021.0,7,240.0,6,24 нояб.,910
Отдельный дом · 6 комнат · 215 м² · 6 сот.,92000000,Алматы,Турксибский,2017.0,6,215.0,6,24 нояб.,78
Отдельный дом · 3 комнаты · 85 м² · 2.4 сот.,44000000,Алматы,Жетысуский,2010.0,3,85.0,2.4,24 нояб.,233
Отдельный дом · 4 комнаты · 96 м² · 8 сот.,57000000,Алматы,,,4,96.0,8,24 нояб.,2
Часть дома · 5 комнат · 156 м² · 4 сот.,55000000,Алматы,,,5,156.0,4,24 нояб.,77
Отдельный дом · 6 комнат · 329 м² · 5.5 сот.,188000000,Алматы,,2004.0,6,329.0,5.5,24 нояб.,4
Часть дома · 2 комнаты · 53 м² · 1 сот.,20500000,Алматы,Турксибский,1969.0,2,53.0,1,24 нояб.,136
Отдельный дом · 5 комнат · 198 м² · 4.8 сот.,70000000,Алматы,,2018.0,5,198.0,4.8,24 нояб.,106
Отдельный дом · 7 комнат · 600 м² · 8 сот.,330000000,Алматы,,2008.0,7,600.0,8,24 нояб.,242
Отдельный дом · 5 комнат · 265 м² · 8.5 сот.,95000000,Алматы,,2015.0,5,265.0,8.5,24 нояб.,11
Отдельный дом · 5 комнат · 250 м² · 9 сот.,80000000,Алматы,,2007.0,5,250.0,9,24 нояб.,8
Отдельный дом · 5 комнат · 120 м² · 8 сот.,60000000,Алматы,,1994.0,5,120.0,8,24 нояб.,10
Отдельный дом · 4 комнаты · 90 м² · 8 сот.,62000000,Алматы,,2006.0,4,90.0,8,24 нояб.,275
Отдельный дом · 6 комнат · 220 м² · 4.5 сот.,55000000,Алматы,,1998.0,6,220.0,4.5,24 нояб.,151
Отдельный дом · 4 комнаты · 234 м² · 15 сот.,98000000,Алматы,,2023.0,4,234.0,15,24 нояб.,157
Отдельный дом · 7 комнат · 380 м² · 13 сот.,200000000,Алматы,,2015.0,7,380.0,13,24 нояб.,130
Отдельный дом · 4 комнаты · 60 м² · 4.5 сот.,39000000,Алматы,,1954.0,4,60.0,4.5,24 нояб.,260
Отдельный дом · 5 комнат · 360 м² · 8 сот.,90000000,Алматы,,2015.0,5,360.0,8,24 нояб.,164
Отдельный дом · 3 комнаты · 161.1 м² · 5 сот.,31000000,Алматы,Наурызбайский,2007.0,3,161.1,5,24 нояб.,274
Отдельный дом · 4 комнаты · 175 м² · 10 сот.,75000000,Алматы,,2000.0,4,175.0,10,24 нояб.,9
Отдельный дом · 6 комнат · 457 м² · 10 сот.,729000000,Алматы,,2024.0,6,457.0,10,24 нояб.,2199
Отдельный дом · 5 комнат · 150 м² · 4 сот.,57999999,Алматы,,,5,150.0,4,24 нояб.,3193
Отдельный дом · 5 комнат · 117 м² · 5.7 сот.,115000000,Алматы,,2024.0,5,117.0,5.7,24 нояб.,1742
Отдельный дом · 5 комнат · 247 м² · 10 сот.,100000000,Алматы,,2006.0,5,247.0,10,24 нояб.,363
Отдельный дом · 5 комнат · 170 м² · 6 сот.,66500000,Алматы,,2015.0,5,170.0,6,24 нояб.,2002
Отдельный дом · 5 комнат · 267 м² · 10 сот.,145000000,Алматы,,2008.0,5,267.0,10,24 нояб.,89
Отдельный дом · 6 комнат · 288 м² · 3 сот.,127000000,Алматы,,2010.0,6,288.0,3,24 нояб.,1165
Отдельный дом · 4 комнаты · 150 м² · 4.5 сот.,97000000,Алматы,,2017.0,4,150.0,4.5,24 нояб.,4969
Отдельный дом · 4 комнаты · 250 м² · 6 сот.,91000000,Алматы,,2005.0,4,250.0,6,24 нояб.,2952
Отдельный дом · 4 комнаты · 110 м² · 4 сот.,85000000,Алматы,,2017.0,4,110.0,4,24 нояб.,1880
Отдельный дом · 4 комнаты · 96 м² · 9 сот.,60000000,Алматы,,2020.0,4,96.0,9,24 нояб.,3261
Отдельный дом · 5 комнат · 192 м² · 5.4 сот.,65000000,Алматы,,2013.0,5,192.0,5.4,24 нояб.,3658
Отдельный дом · 6 комнат · 235 м² · 7 сот.,34000000,Алматы,,2020.0,6,235.0,7,24 нояб.,21479
Отдельный дом · 8 комнат · 253.2 м² · 7 сот.,160000000,Алматы,,1967.0,8,253.2,7,24 нояб.,4921
Отдельный дом · 5 комнат · 228 м² · 10 сот.,167000000,Алматы,,1985.0,5,228.0,10,24 нояб.,4505
Отдельный дом · 9 комнат · 1000 м² · 30 сот.,1787000000,Алматы,,2024.0,9,1000.0,30,24 нояб.,8388
Отдельный дом · 7 комнат · 282 м² · 6 сот.,133000000,Алматы,,2007.0,7,282.0,6,24 нояб.,2822
Отдельный дом · 10 комнат · 1000 м² · 23 сот.,750000000,Алматы,,2018.0,10,1000.0,23,24 нояб.,70447
Отдельный дом · 4 комнаты · 175 м² · 6 сот.,66666666,Алматы,,2011.0,4,175.0,6,24 нояб.,20345
Отдельный дом · 4 комнаты · 150 м² · 6 сот.,100000000,Алматы,,2005.0,4,150.0,6,24 нояб.,3687
Отдельный дом · 5 комнат · 206 м² · 5.2 сот.,32000000,Алматы,,2024.0,5,206.0,5.2,24 нояб.,892
Отдельный дом · 3 комнаты · 70 м² · 8 сот.,65000000,Алматы,,,3,70.0,8,24 нояб.,752
"4-комнатный дом, 197 м²",191090000,Алматы,,2022.0,,,,24 нояб.,8884
Отдельный дом · 6 комнат · 222.8 м² · 4 сот.,68000000,Алматы,,2019.0,6,222.8,4,24 нояб.,1950
Отдельный дом · 7 комнат · 334.8 м² · 5 сот.,90000000,Алматы,,,7,334.8,5,24 нояб.,417
Дача · 4 комнаты · 94.6 м² · 8.97 сот.,13500000,Алматы,,1993.0,4,94.6,8.97,24 нояб.,13599
Отдельный дом · 6 комнат · 350 м² · 6.5 сот.,750000000,Алматы,,,6,350.0,6.5,24 нояб.,426
Отдельный дом · 4 комнаты · 333 м² · 7.3 сот.,200000000,Алматы,,2000.0,4,333.0,7.3,24 нояб.,1979
Отдельный дом · 4 комнаты · 273.4 м² · 6 сот.,160000000,Алматы,,2021.0,4,273.4,6,24 нояб.,1584
Отдельный дом · 7 комнат · 492 м² · 13 сот.,355000000,Алматы,,2002.0,7,492.0,13,24 нояб.,438
Отдельный дом · 4 комнаты · 90 м² · 7.42 сот.,130000000,Алматы,,,4,90.0,7.42,24 нояб.,7422
Отдельный дом · 4 комнаты · 160 м² · 5 сот.,65000000,Алматы,,2024.0,4,160.0,5,24 нояб.,171
Отдельный дом · 7 комнат · 200 м² · 6 сот.,51000000,Алматы,,2018.0,7,200.0,6,24 нояб.,993
Отдельный дом · 7 комнат · 350 м² · 10 сот.,267000000,Алматы,,2024.0,7,350.0,10,24 нояб.,2811
Отдельный дом · 5 комнат · 200 м² · 8 сот.,237000000,Алматы,,2024.0,5,200.0,8,24 нояб.,1803
Отдельный дом · 3 комнаты · 140 м² · 20 сот.,160000000,Алматы,,,3,140.0,20,24 нояб.,131
Отдельный дом · 5 комнат · 210 м² · 5 сот.,113000000,Алматы,,,5,210.0,5,24 нояб.,52
Часть дома · 6 комнат · 325 м² · 6 сот.,306000000,Алматы,,2024.0,6,325.0,6,24 нояб.,296
Часть дома · 3 комнаты · 82 м² · 8 сот.,11000000,Алматы,,2024.0,3,82.0,8,24 нояб.,874
Отдельный дом · 2 комнаты · 51 м² · 1.6 сот.,16000000,Алматы,,1966.0,2,51.0,1.6,24 нояб.,29411
Отдельный дом · 5 комнат · 260 м² · 8.29 сот.,92000000,Алматы,,2023.0,5,260.0,8.29,24 нояб.,8295
Отдельный дом · 6 комнат · 200 м² · 7 сот.,63000000,Алматы,,2018.0,6,200.0,7,24 нояб.,6563
Отдельный дом · 4 комнаты · 100 м² · 13 сот.,61700000,Алматы,,2020.0,4,100.0,13,24 нояб.,2609
Часть дома · 4 комнаты · 100 м² · 3 сот.,58000000,Алматы,,2021.0,4,100.0,3,24 нояб.,16280
Отдельный дом · 4 комнаты · 72 м² · 2.5 сот.,24000000,Алматы,,1999.0,4,72.0,2.5,24 нояб.,17053
Отдельный дом · 6 комнат · 333 м² · 22 сот.,280000000,Алматы,,2011.0,6,333.0,22,24 нояб.,11338
Отдельный дом · 6 комнат · 400 м² · 10 сот.,249000000,Алматы,,,6,400.0,10,24 нояб.,7380
Отдельный дом · 6 комнат · 280 м² · 10 сот.,91500000,Алматы,,,6,280.0,10,24 нояб.,8899
Отдельный дом · 6 комнат · 270 м² · 14 сот.,67500000,Алматы,,2016.0,6,270.0,14,24 нояб.,7176
Отдельный дом · 3 комнаты · 104 м² · 4 сот.,45999000,Алматы,,1991.0,3,104.0,4,24 нояб.,1609
Отдельный дом · 4 комнаты · 144 м² · 4 сот.,42000000,Алматы,,2024.0,4,144.0,4,24 нояб.,2297
Отдельный дом · 11 комнат · 315 м² · 12.5 сот.,141000000,Алматы,,2010.0,11,315.0,12.5,24 нояб.,577
Часть дома · 5 комнат · 100 м² · 5 сот.,45000000,Алматы,,,5,100.0,5,24 нояб.,14543
Отдельный дом · 5 комнат · 168 м² · 5.5 сот.,25000000,Алматы,,2021.0,5,168.0,5.5,24 нояб.,927
Отдельный дом · 11 комнат · 360 м² · 6 сот.,548000000,Алматы,,2014.0,11,360.0,6,24 нояб.,2779
Отдельный дом · 3 комнаты · 220 м² · 8 сот.,150000000,Алматы,,2023.0,3,220.0,8,24 нояб.,166
Отдельный дом · 3 комнаты · 120 м² · 6 сот.,42000000,Алматы,,2019.0,3,120.0,6,24 нояб.,24702
Отдельный дом · 4 комнаты · 200 м² · 9.3 сот.,120000000,Алматы,,2008.0,4,200.0,9.3,24 нояб.,2068
Отдельный дом · 3 комнаты · 85 м² · 5.7 сот.,22000000,Алматы,,2007.0,3,85.0,5.7,24 нояб.,200
Отдельный дом · 5 комнат · 230 м² · 6 сот.,125000000,Алматы,,2021.0,5,230.0,6,24 нояб.,1311
Часть дома · 4 комнаты · 130 м² · 5 сот.,18000000,Алматы,,2022.0,4,130.0,5,24 нояб.,1308
Отдельный дом · 8 комнат · 260 м² · 8 сот.,126000000,Алматы,,2018.0,8,260.0,8,24 нояб.,79
"4-комнатный дом, 213 м²",230000000,Алматы,,2022.0,,,,24 нояб.,12533
Отдельный дом · 3 комнаты · 100 м² · 6 сот.,50000000,Алматы,,2023.0,3,100.0,6,24 нояб.,3191
Отдельный дом · 4 комнаты · 161.7 м² · 4.7 сот.,119900000,Алматы,,2022.0,4,161.7,4.7,24 нояб.,7812
Часть дома · 3 комнаты · 54 м² · 6.56 сот.,54000000,Алматы,,1961.0,3,54.0,6.56,24 нояб.,372
Отдельный дом · 13 комнат · 415.9 м² · 9.7 сот.,200000000,Алматы,,2012.0,13,415.9,9.7,24 нояб.,788
Отдельный дом · 4 комнаты · 90 м² · 6 сот.,42900000,Алматы,,2000.0,4,90.0,6,24 нояб.,26740
Отдельный дом · 10 комнат · 656.4 м² · 13.8 сот.,500000000,Алматы,,2010.0,10,656.4,13.8,24 нояб.,2689
Отдельный дом · 4 комнаты · 140 м² · 3 сот.,60000000,Алматы,,2020.0,4,140.0,3,24 нояб.,326
Отдельный дом · 7 комнат · 350 м² · 16 сот.,400000000,Алматы,,2011.0,7,350.0,16,24 нояб.,648
Отдельный дом · 7 комнат · 131.5 м² · 3.24 сот.,57000000,Алматы,,1993.0,7,131.5,3.24,24 нояб.,8684
Отдельный дом · 6 комнат · 320 м² · 11.5 сот.,250000000,Алматы,,2021.0,6,320.0,11.5,24 нояб.,678
Отдельный дом · 10 комнат · 400 м² · 6 сот.,120000000,Алматы,,2024.0,10,400.0,6,24 нояб.,474
Отдельный дом · 4 комнаты · 150 м² · 7 сот.,110000000,Алматы,,2000.0,4,150.0,7,24 нояб.,307
Отдельный дом · 4 комнаты · 71.8 м² · 6.28 сот.,80000000,Алматы,,1960.0,4,71.8,6.28,24 нояб.,708
Отдельный дом · 5 комнат · 248 м² · 5 сот.,118000000,Алматы,,2024.0,5,248.0,5,24 нояб.,4450
Отдельный дом · 3 комнаты · 76 м² · 24 сот.,75000000,Алматы,,2000.0,3,76.0,24,24 нояб.,894
Отдельный дом · 8 комнат · 170 м² · 3 сот.,53000000,Алматы,,2014.0,8,170.0,3,24 нояб.,970
Отдельный дом · 6 комнат · 290 м² · 15 сот.,325000000,Алматы,,2022.0,6,290.0,15,24 нояб.,1180
Часть дома · 4 комнаты · 166 м² · 1 сот.,85000000,Алматы,,2024.0,4,166.0,1,24 нояб.,3020
Отдельный дом · 5 комнат · 225 м² · 4 сот.,146000000,Алматы,,2015.0,5,225.0,4,24 нояб.,10328
Отдельный дом · 7 комнат · 120 м² · 8.3 сот.,70000000,Алматы,,2023.0,7,120.0,8.3,24 нояб.,6083
Отдельный дом · 5 комнат · 200 м² · 28 сот.,400000000,Алматы,,2008.0,5,200.0,28,24 нояб.,376
Отдельный дом · 6 комнат · 370 м² · 11.5 сот.,250000000,Алматы,,2005.0,6,370.0,11.5,24 нояб.,326
"4-комнатный дом, 296 м²",275280000,Алматы,,2022.0,,,,24 нояб.,9491
Отдельный дом · 5 комнат · 180 м² · 5.5 сот.,55000000,Алматы,,2024.0,5,180.0,5.5,24 нояб.,1923
Отдельный дом · 5 комнат · 185 м² · 7 сот.,87000000,Алматы,,2018.0,5,185.0,7,24 нояб.,32923
Дача · 6 комнат · 100 м² · 12 сот.,19000000,Алматы,,1998.0,6,100.0,12,24 нояб.,840
Отдельный дом · 6 комнат · 1000 м² · 16 сот.,790000000,Алматы,,2016.0,6,1000.0,16,24 нояб.,397
Отдельный дом · 4 комнаты · 85 м² · 6 сот.,45900000,Алматы,,1960.0,4,85.0,6,24 нояб.,3396
Отдельный дом · 5 комнат · 279 м² · 10 сот.,165000000,Алматы,,2010.0,5,279.0,10,24 нояб.,749
Отдельный дом · 7 комнат · 311 м² · 7 сот.,250000000,Алматы,Бостандыкский,2015.0,7,311.0,7,24 нояб.,1134
Отдельный дом · 6 комнат · 150 м² · 18 сот.,145000000,Алматы,,2007.0,6,150.0,18,24 нояб.,9324
Отдельный дом · 6 комнат · 292.8 м² · 7 сот.,153000000,Алматы,,2015.0,6,292.8,7,24 нояб.,2683
Отдельный дом · 3 комнаты · 80 м² · 9 сот.,76000000,Алматы,,2017.0,3,80.0,9,24 нояб.,5363
Отдельный дом · 4 комнаты · 116 м² · 4.5 сот.,35000000,Алматы,,2010.0,4,116.0,4.5,24 нояб.,9326
Отдельный дом · 2 комнаты · 68 м² · 5 сот.,47000000,Алматы,,2020.0,2,68.0,5,24 нояб.,2526
Отдельный дом · 5 комнат · 230 м² · 5 сот.,155000000,Алматы,,2016.0,5,230.0,5,24 нояб.,7574
Отдельный дом · 7 комнат · 240 м² · 10 сот.,97000000,Алматы,,2011.0,7,240.0,10,24 нояб.,2989
Отдельный дом · 5 комнат · 115.9 м² · 4.32 сот.,35000000,Алматы,,1975.0,5,115.9,4.32,24 нояб.,363
Отдельный дом · 4 комнаты · 395 м² · 6 сот.,280000000,Алматы,,2014.0,4,395.0,6,24 нояб.,459
Отдельный дом · 6 комнат · 218 м² · 2 сот.,106900000,Алматы,,2021.0,6,218.0,2,24 нояб.,2206
Дача · 1 комната · 26.4 м² · 11.5 сот.,40000000,Алматы,,1980.0,1,26.4,11.5,24 нояб.,2910
Отдельный дом · 5 комнат · 287 м² · 7 сот.,170000000,Алматы,,2008.0,5,287.0,7,24 нояб.,596
Отдельный дом · 4 комнаты · 128 м² · 8 сот.,29000000,Алматы,,2018.0,4,128.0,8,24 нояб.,5177
Отдельный дом · 7 комнат · 324 м² · 7 сот.,120000000,Алматы,,2008.0,7,324.0,7,24 нояб.,2484
Отдельный дом · 4 комнаты · 160 м² · 4 сот.,70000000,Алматы,,2024.0,4,160.0,4,24 нояб.,1797
Отдельный дом · 7 комнат · 500 м² · 10 сот.,130000000,Алматы,,2014.0,7,500.0,10,24 нояб.,745
Отдельный дом · 7 комнат · 378 м² · 6 сот.,150000000,Алматы,,2019.0,7,378.0,6,24 нояб.,993
Отдельный дом · 7 комнат · 600 м² · 10 сот.,520000000,Алматы,,2024.0,7,600.0,10,24 нояб.,3496
Отдельный дом · 3 комнаты · 60 м² · 6.68 сот.,400000000,Алматы,,1990.0,3,60.0,6.68,24 нояб.,93
Отдельный дом · 10 комнат · 600 м² · 25 сот.,160000000,Алматы,,2005.0,10,600.0,25,24 нояб.,6469
Отдельный дом · 6 комнат · 350 м² · 11 сот.,275000000,Алматы,,2013.0,6,350.0,11,24 нояб.,289
Отдельный дом · 7 комнат · 530 м² · 10 сот.,290000000,Алматы,,2019.0,7,530.0,10,24 нояб.,4767
Отдельный дом · 7 комнат · 402 м² · 8 сот.,165000000,Алматы,,2022.0,7,402.0,8,24 нояб.,9475
Отдельный дом · 4 комнаты · 140 м² · 12 сот.,47000000,Алматы,,2024.0,4,140.0,12,24 нояб.,2200
Отдельный дом · 6 комнат · 230 м² · 6 сот.,120000000,Алматы,,2019.0,6,230.0,6,24 нояб.,1259
"2-комнатный дом, 158.72 м²",150784000,Алматы,Наурызбайский,2025.0,,,,24 нояб.,5960
"6-комнатный дом, 492.68 м²",985360000,Алматы,Бостандыкский,2025.0,,,,24 нояб.,15301
Отдельный дом · 7 комнат · 370 м² · 4 сот.,170000000,Алматы,,2020.0,7,370.0,4,24 нояб.,740
Отдельный дом · 4 комнаты · 132 м² · 7.5 сот.,106000000,Алматы,,2024.0,4,132.0,7.5,24 нояб.,2875
Отдельный дом · 20 комнат · 403.7 м² · 6 сот.,100000000,Алматы,,2009.0,20,403.7,6,24 нояб.,1208
Отдельный дом · 4 комнаты · 150 м² · 5 сот.,52000000,Алматы,,2022.0,4,150.0,5,24 нояб.,224
Отдельный дом · 7 комнат · 339 м² · 13 сот.,170000000,Алматы,,2010.0,7,339.0,13,24 нояб.,1723
Отдельный дом · 7 комнат · 893 м² · 15.3 сот.,780000000,Алматы,,2014.0,7,893.0,15.3,24 нояб.,101
"5-комнатный дом, 311.4 м²",373680000,Алматы,,2022.0,,,,24 нояб.,99999+
Отдельный дом · 4 комнаты · 120 м² · 8 сот.,142000000,Алматы,,2005.0,4,120.0,8,24 нояб.,2786
Отдельный дом · 6 комнат · 160 м² · 7.5 сот.,100000000,Алматы,,2024.0,6,160.0,7.5,24 нояб.,97
Отдельный дом · 5 комнат · 180 м² · 12.5 сот.,20000000,Алматы,,2016.0,5,180.0,12.5,24 нояб.,14503
Отдельный дом · 4 комнаты · 124.3 м² · 6 сот.,39500000,Алматы,,,4,124.3,6,24 нояб.,40870
Отдельный дом · 4 комнаты · 120 м² · 6 сот.,29500000,Алматы,,2023.0,4,120.0,6,24 нояб.,9298
Отдельный дом · 4 комнаты · 110 м² · 8 сот.,79500000,Алматы,,2008.0,4,110.0,8,24 нояб.,6553
Отдельный дом · 4 комнаты · 103 м² · 3.85 сот.,46000000,Алматы,,2006.0,4,103.0,3.85,24 нояб.,9373
Отдельный дом · 5 комнат · 284 м² · 7 сот.,192000000,Алматы,,2022.0,5,284.0,7,24 нояб.,10800
Отдельный дом · 5 комнат · 120 м² · 7.2 сот.,76000000,Алматы,Наурызбайский,2019.0,5,120.0,7.2,24 нояб.,7280
Отдельный дом · 7 комнат · 270 м² · 10 сот.,125000000,Алматы,,2012.0,7,270.0,10,24 нояб.,266
Отдельный дом · 6 комнат · 250 м² · 8 сот.,60000000,Алматы,,2010.0,6,250.0,8,24 нояб.,12
Часть дома · 9 комнат · 350 м² · 10 сот.,120000000,Алматы,,2006.0,9,350.0,10,24 нояб.,138
Отдельный дом · 3 комнаты · 60 м² · 6 сот.,60000000,Алматы,,2008.0,3,60.0,6,24 нояб.,161
Дача · 2 комнаты · 25 м² · 6.04 сот.,25000000,Алматы,,1980.0,2,25.0,6.04,24 нояб.,1232
Отдельный дом · 4 комнаты · 120 м² · 12 сот.,65000000,Алматы,,2005.0,4,120.0,12,24 нояб.,33261
Отдельный дом · 6 комнат · 200 м² · 10 сот.,120000000,Алматы,,2022.0,6,200.0,10,24 нояб.,665
Отдельный дом · 12 комнат · 600 м² · 6 сот.,280000000,Алматы,,2021.0,12,600.0,6,24 нояб.,5204
Отдельный дом · 8 комнат · 400 м² · 12 сот.,298800000,Алматы,,2024.0,8,400.0,12,24 нояб.,517
