Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 165 м²",150000000,909091,Алматы,,2020.0,165.0,25 нояб.,1401
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 160 м²",22000000,137500,Алматы,,2020.0,160.0,25 нояб.,1745
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 467 м²",260000000,556745,Алматы,,2003.0,467.0,25 нояб.,1396
"Свободное назначение, офисы · 106 м²",71580000,675283,Алматы,,2013.0,106.0,25 нояб.,640
Магазины и бутики · 30 м²,35000000,1166667,Алматы,,2017.0,30.0,25 нояб.,1533
"Свободное назначение, салоны красоты, медцентры и аптеки, образование · 525.7 м²",575000000,1093780,Алматы,,,525.7,25 нояб.,419
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование · 61 м²",65000000,1065574,Алматы,,2024.0,61.0,25 нояб.,473
"Офисы, склады · 1150 м²",445000000,386957,Алматы,,2007.0,1150.0,25 нояб.,191
Офисы · 200 м²,170000000,850000,Алматы,,2007.0,200.0,25 нояб.,499
"Офисы, медцентры и аптеки, образование, развлечения · 731.3 м²",490000000,670040,Алматы,,,731.3,25 нояб.,259
"Свободное назначение, офисы, магазины и бутики, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2200 м²",900000000,409091,Алматы,,,2200.0,25 нояб.,289
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 75 м²",85000000,1133333,Алматы,,,75.0,25 нояб.,79
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование · 70 м²",19500000,278571,Алматы,,2020.0,70.0,25 нояб.,1823
Свободное назначение · 35 м²,8500000,242857,Алматы,,2006.0,35.0,25 нояб.,731
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 2040 м²",1050000000,514706,Алматы,,2024.0,2040.0,25 нояб.,731
Свободное назначение · 70 м²,75000000,1071429,Алматы,,1949.0,70.0,25 нояб.,765
"Магазины и бутики, общепит · 85 м²",160000000,1882353,Алматы,,,85.0,25 нояб.,22
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 98 м²",55000000,561224,Алматы,,2020.0,98.0,25 нояб.,1542
"Офисы, магазины и бутики, салоны красоты, образование · 67 м²",68000000,1014925,Алматы,,2018.0,67.0,25 нояб.,2830
"Свободное назначение, офисы, магазины и бутики, склады, общепит · 25.7 м²",16500000,642023,Алматы,,2019.0,25.7,25 нояб.,344
Свободное назначение · 156.1 м²,171710000,1100000,Алматы,,2024.0,156.1,25 нояб.,117
Образование · 107 м²,93000000,869159,Алматы,,2015.0,107.0,25 нояб.,252
"Офисы, магазины и бутики, салоны красоты · 150 м²",157000000,1046667,Алматы,,2020.0,150.0,25 нояб.,3053
Свободное назначение · 17.4 м²,2100000,120690,Алматы,,1991.0,17.4,25 нояб.,2655
"Офисы, склады · 622 м²",349500000,561897,Алматы,,2023.0,622.0,25 нояб.,306
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1286.4 м²",3214713600,2499000,Алматы,,2025.0,1286.4,25 нояб.,722
Общепит · 680 м²,175000000,257353,Алматы,,,680.0,25 нояб.,10707
Свободное назначение · 16.6 м²,18000000,1084337,Алматы,,,16.6,25 нояб.,353
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 2700 м²",2000000000,740741,Алматы,,2013.0,2700.0,25 нояб.,238
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 168 м²",180000000,1071429,Алматы,,1953.0,168.0,25 нояб.,2085
"Офисы, магазины и бутики, салоны красоты · 51 м²",54000000,1058824,Алматы,,1981.0,51.0,25 нояб.,687
"Свободное назначение, магазины и бутики, общепит, медцентры и аптеки, образование · 471.8 м²",150000000,317931,Алматы,,1985.0,471.8,25 нояб.,309
"Магазины и бутики, бани, гостиницы и зоны отдыха · 600 м²",15000000,25000,Алматы,,2019.0,600.0,25 нояб.,2581
"Свободное назначение, офисы · 477 м²",181260000,380000,Алматы,,2019.0,477.0,25 нояб.,1145
Магазины и бутики · 14.5 м²,3000000,206897,Алматы,,2017.0,14.5,25 нояб.,2410
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 18 м²",33000000,1833333,Алматы,,2021.0,18.0,25 нояб.,392
"Свободное назначение, склады · 5.5 м²",1100000,200000,Алматы,,2023.0,5.5,25 нояб.,262
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 332 м²",332000000,1000000,Алматы,,2023.0,332.0,25 нояб.,151
Свободное назначение · 403.5 м²,59000000,146221,Алматы,,2024.0,403.5,25 нояб.,10313
Свободное назначение · 520 м²,157000000,301923,Алматы,,2014.0,520.0,25 нояб.,1544
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 123.3 м²",98640000,800000,Алматы,,2022.0,123.3,25 нояб.,1316
Свободное назначение · 132.54 м²,99405000,750000,Алматы,,2023.0,132.54,25 нояб.,529
Свободное назначение · 60 м²,50000000,833333,Алматы,,,60.0,25 нояб.,11284
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 75 м²",88800000,1184000,Алматы,,2024.0,75.0,25 нояб.,912
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 650 м²",398000000,612308,Алматы,,2000.0,650.0,25 нояб.,565
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки · 43.9 м²",80000000,1822323,Алматы,,1963.0,43.9,25 нояб.,3406
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 56 м²",53000000,946429,Алматы,,,56.0,25 нояб.,643
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 56 м²",53000000,946429,Алматы,,,56.0,25 нояб.,961
Офисы · 69 м²,72000000,1043478,Алматы,,2016.0,69.0,25 нояб.,1718
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 45 м²",18000000,400000,Алматы,,1960.0,45.0,25 нояб.,1021
Свободное назначение · 465 м²,53000000,113978,Алматы,,2020.0,465.0,25 нояб.,14758
Свободное назначение · 104.7 м²,86461260,825800,Алматы,,2023.0,104.7,25 нояб.,1424
"Офисы, магазины и бутики, склады, салоны красоты, образование, развлечения · 400 м²",179000000,447500,Алматы,,2015.0,400.0,25 нояб.,1664
Свободное назначение · 49 м²,49000000,1000000,Алматы,,,49.0,25 нояб.,741
Свободное назначение · 585.6 м²,359000000,613046,Алматы,,2006.0,585.6,25 нояб.,4421
Свободное назначение · 105 м²,115000000,1095238,Алматы,,1950.0,105.0,25 нояб.,951
"Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 350 м²",210000000,600000,Алматы,,2014.0,350.0,25 нояб.,129
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 32 м²",20500000,640625,Алматы,,2022.0,32.0,25 нояб.,495
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование · 28.6 м²",19000000,664336,Алматы,,2022.0,28.6,25 нояб.,1318
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование, развлечения · 60 м²",39500000,658333,Алматы,,2022.0,60.0,25 нояб.,4204
"Офисы, магазины и бутики · 130 м²",65000000,500000,Алматы,,2010.0,130.0,25 нояб.,6737
Свободное назначение · 55 м²,15000000,272727,Алматы,,2017.0,55.0,25 нояб.,4227
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 616 м²",390000000,633117,Алматы,,,616.0,25 нояб.,5770
"Свободное назначение, офисы, магазины и бутики, склады, образование, развлечения · 387.7 м²",350000000,902760,Алматы,,2019.0,387.7,25 нояб.,3007
Магазины и бутики · 66 м²,75000000,1136364,Алматы,,1983.0,66.0,25 нояб.,3095
Магазины и бутики · 123.9 м²,250000000,2017756,Алматы,,1985.0,123.9,25 нояб.,2122
"Свободное назначение, офисы, магазины и бутики, склады, общепит, образование, развлечения · 387.7 м²",350000000,902760,Алматы,,2019.0,387.7,25 нояб.,1276
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 300 м²",150000000,500000,Алматы,,2024.0,300.0,25 нояб.,800
Медцентры и аптеки · 450 м²,165000000,366667,Алматы,,2022.0,450.0,25 нояб.,398
Магазины и бутики · 200 м²,150000000,750000,Алматы,,2017.0,200.0,25 нояб.,4486
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения · 295 м²",320000000,1084746,Алматы,,2023.0,295.0,25 нояб.,444
Свободное назначение · 160 м²,95000000,593750,Алматы,,2021.0,160.0,25 нояб.,1736
"Свободное назначение, бани, гостиницы и зоны отдыха · 4238 м²",990000000,233601,Алматы,,,4238.0,25 нояб.,2397
Магазины и бутики · 90 м²,61000000,677778,Алматы,,2018.0,90.0,25 нояб.,419
"Офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование · 350 м²",300000000,857143,Алматы,,2015.0,350.0,25 нояб.,5006
"Свободное назначение, офисы, образование · 1701 м²",1488375000,875000,Алматы,,,1701.0,25 нояб.,474
Магазины и бутики · 110 м²,105000000,954545,Алматы,,,110.0,25 нояб.,898
Свободное назначение · 1250 м²,2200000000,1760000,Алматы,,2018.0,1250.0,25 нояб.,783
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 116.6 м²",85000000,728988,Алматы,,,116.6,25 нояб.,611
"Свободное назначение, офисы, магазины и бутики, салоны красоты, образование · 180 м²",95000000,527778,Алматы,Бостандыкский,2024.0,180.0,25 нояб.,1364
"Свободное назначение, магазины и бутики · 272.1 м²",272100000,1000000,Алматы,,2015.0,272.1,25 нояб.,2327
Магазины и бутики · 360 м²,45450000,126250,Алматы,,,360.0,25 нояб.,48
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 46 м²",50000000,1086957,Алматы,,2002.0,46.0,25 нояб.,4489
"Офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 164.8 м²",110000000,667476,Алматы,,1965.0,164.8,25 нояб.,774
Салоны красоты · 38 м²,30000000,789474,Алматы,,1993.0,38.0,25 нояб.,302
Офисы · 154 м²,60000000,389610,Алматы,Бостандыкский,2014.0,154.0,25 нояб.,1635
"Свободное назначение, офисы, магазины и бутики, склады, образование, развлечения · 25 м²",18200000,728000,Алматы,,2015.0,25.0,25 нояб.,176
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, развлечения · 87.4 м²",75000000,858124,Алматы,,2024.0,87.4,25 нояб.,288
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 265 м²",170000000,641509,Алматы,,1962.0,265.0,25 нояб.,358
Склады · 9670 м²,5285709030,546609,Алматы,,,9670.0,25 нояб.,1429
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 85 м²",143000000,1682353,Алматы,,,85.0,25 нояб.,430
"Общепит, бани, гостиницы и зоны отдыха, развлечения · 1250 м²",420000000,336000,Алматы,Бостандыкский,2007.0,1250.0,25 нояб.,1173
Свободное назначение · 430 м²,240000000,558140,Алматы,,2018.0,430.0,25 нояб.,2202
Свободное назначение · 1061 м²,1260000000,1187559,Алматы,,2022.0,1061.0,25 нояб.,4996
"Свободное назначение, офисы, салоны красоты · 320 м²",550000000,1718750,Алматы,,2024.0,320.0,25 нояб.,819
"Свободное назначение, офисы, общепит · 400 м²",210000000,525000,Алматы,,,400.0,25 нояб.,906
Офисы · 750 м²,637500000,850000,Алматы,,,750.0,25 нояб.,740
Офисы · 1573.2 м²,1337220000,850000,Алматы,,,1573.2,25 нояб.,725
"Свободное назначение, магазины и бутики, салоны красоты · 300 м²",270000000,900000,Алматы,,2020.0,300.0,25 нояб.,1081
Офисы · 14808.9 м²,12587565000,850000,Алматы,,,14808.9,25 нояб.,1714
Магазины и бутики · 80 м²,55000000,687500,Алматы,,2019.0,80.0,25 нояб.,1601
"Офисы, магазины и бутики · 61.3 м²",65000000,1060359,Алматы,,2020.0,61.3,25 нояб.,3140
Свободное назначение · 27 м²,18000000,666667,Алматы,,2009.0,27.0,25 нояб.,671
"Магазины и бутики, склады, салоны красоты · 131 м²",17000000,129771,Алматы,,2008.0,131.0,25 нояб.,4123
Офисы · 9368.8 м²,7963480000,850000,Алматы,,,9368.8,25 нояб.,1339
"Офисы, образование · 129 м²",150000000,1162791,Алматы,,2016.0,129.0,25 нояб.,61
Магазины и бутики · 119 м²,50000000,420168,Алматы,,2023.0,119.0,25 нояб.,4589
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, сельское хозяйство · 350 м²",500000000,1428571,Алматы,,,350.0,25 нояб.,858
"Свободное назначение, магазины и бутики · 117 м²",70000000,598291,Алматы,,1992.0,117.0,25 нояб.,563
"Свободное назначение, офисы, склады, азс, автосервисы и автомойки · 589.9 м²",260000000,440753,Алматы,,,589.9,25 нояб.,233
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 129.8 м²",41000000,315871,Алматы,,2011.0,129.8,25 нояб.,1739
Свободное назначение · 24 м²,5799999,241667,Алматы,,2018.0,24.0,25 нояб.,4929
Салоны красоты · 60 м²,39000000,650000,Алматы,,,60.0,25 нояб.,822
Свободное назначение · 410.2 м²,220000000,536324,Алматы,,2014.0,410.2,25 нояб.,2045
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 55 м²",69500000,1263636,Алматы,,1976.0,55.0,25 нояб.,497
"Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1512 м²",950000000,628307,Алматы,,1994.0,1512.0,25 нояб.,1999
"Свободное назначение, офисы · 754 м²",675000000,895225,Алматы,,,754.0,25 нояб.,16
Свободное назначение · 1227.3 м²,1521153000,1239430,Алматы,,,1227.3,25 нояб.,2177
Свободное назначение · 1649.5 м²,1945260000,1179303,Алматы,,,1649.5,25 нояб.,2716
Офисы · 1152.1 м²,1354445000,1175631,Алматы,,2022.0,1152.1,25 нояб.,1418
Офисы · 752.2 м²,1065576000,1416613,Алматы,,2022.0,752.2,25 нояб.,1934
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование · 56 м²",21000000,375000,Алматы,,2023.0,56.0,24 нояб.,46
Свободное назначение · 179 м²,38000000,212291,Алматы,,2020.0,179.0,24 нояб.,196
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 265 м²",199000000,750943,Алматы,,1966.0,265.0,24 нояб.,320
"Свободное назначение, азс, автосервисы и автомойки, бани, гостиницы и зоны отдыха · 1350 м²",999000000,740000,Алматы,,2007.0,1350.0,24 нояб.,124
"Свободное назначение, офисы, склады · 80 м²",15000000,187500,Алматы,,,80.0,24 нояб.,10538
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 80 м²",55000000,687500,Алматы,Ауэзовский,1972.0,80.0,25 нояб.,1131
