Название,Цена(тенге),Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м),Этаж,Дата,Просмотрено
4-комнатная квартира · 77 м² · 1/4 этаж,55000000,Алматы,,1974.0,4,77.0,1.0,24 нояб.,7149
4-комнатная квартира · 147 м² · 2/3 этаж,190000000,Алматы,,2023.0,4,147.0,2.0,24 нояб.,8550
1-комнатная квартира · 45 м²,33000000,Алматы,,2023.0,1,45.0,,24 нояб.,137
3-комнатная квартира · 109 м² · 3/12 этаж,65500000,Алматы,,2015.0,3,109.0,3.0,24 нояб.,1765
3-комнатная квартира · 86 м² · 2 этаж,86000000,Алматы,,2024.0,3,86.0,2.0,24 нояб.,739
3-комнатная квартира · 86.8 м² · 5/5 этаж,61000000,Алматы,,1970.0,3,86.8,5.0,24 нояб.,446
3-комнатная квартира · 60 м² · 2/13 этаж,48000000,Алматы,,2021.0,3,60.0,2.0,24 нояб.,164
3-комнатная квартира · 125 м² · 3/3 этаж,135000000,Алматы,,2023.0,3,125.0,3.0,24 нояб.,996
2-комнатная квартира · 63.2 м² · 8/9 этаж,43000000,Алматы,,1997.0,2,63.2,8.0,24 нояб.,926
2-комнатная квартира · 56 м² · 9/13 этаж,40000000,Алматы,,2024.0,2,56.0,9.0,24 нояб.,1
1-комнатная квартира · 33 м² · 1/10 этаж,25500000,Алматы,,2022.0,1,33.0,1.0,24 нояб.,104
2-комнатная квартира · 45 м² · 2/4 этаж,26800000,Алматы,,1962.0,2,45.0,2.0,24 нояб.,160
2-комнатная квартира · 50 м² · 4/4 этаж,43000000,Алматы,,1977.0,2,50.0,4.0,24 нояб.,100
2-комнатная квартира · 48 м² · 6/9 этаж,26500000,Алматы,,2011.0,2,48.0,6.0,24 нояб.,1186
1-комнатная квартира · 27 м² · 2/2 этаж,13500000,Алматы,,1968.0,1,27.0,2.0,24 нояб.,7196
2-комнатная квартира · 78 м² · 13/18 этаж,52000000,Алматы,,2022.0,2,78.0,13.0,24 нояб.,3198
3-комнатная квартира · 89 м² · 11/11 этаж,51000000,Алматы,,2009.0,3,89.0,11.0,24 нояб.,538
1-комнатная квартира · 33 м² · 2/4 этаж,27500000,Алматы,,1961.0,1,33.0,2.0,24 нояб.,184
2-комнатная квартира · 84.8 м²,55120000,Алматы,,2025.0,2,84.8,,24 нояб.,7108
1-комнатная квартира · 39.7 м²,16674000,Алматы,,2023.0,1,39.7,,24 нояб.,7077
1-комнатная квартира · 27 м² · 1/10 этаж,18500000,Алматы,,2022.0,1,27.0,1.0,24 нояб.,58
3-комнатная квартира · 63 м² · 2/3 этаж,34000000,Алматы,,1983.0,3,63.0,2.0,24 нояб.,3
2-комнатная квартира · 92.96 м²,81432960,Алматы,,2025.0,2,92.96,,24 нояб.,2412
2-комнатная квартира · 108 м² · 10/14 этаж,45000000,Алматы,,2012.0,2,108.0,10.0,24 нояб.,233
2-комнатная квартира · 68 м² · 3/5 этаж,29500000,Алматы,,2012.0,2,68.0,3.0,24 нояб.,283
1-комнатная квартира · 46.18 м² · 12/13 этаж,24500000,Алматы,,2024.0,1,46.18,12.0,24 нояб.,247
2-комнатная квартира · 58.4 м² · 3/3 этаж,43500000,Алматы,,2024.0,2,58.4,3.0,24 нояб.,183
2-комнатная квартира · 80 м² · 9/22 этаж,66000000,Алматы,,2008.0,2,80.0,9.0,24 нояб.,1223
2-комнатная квартира · 46.6 м² · 6/13 этаж,35000000,Алматы,,2024.0,2,46.6,6.0,24 нояб.,226
3-комнатная квартира · 89.1 м² · 4/5 этаж,62000000,Алматы,,1985.0,3,89.1,4.0,24 нояб.,228
2-комнатная квартира · 48 м² · 4/6 этаж,27500000,Алматы,,2022.0,2,48.0,4.0,24 нояб.,273
1-комнатная квартира · 26 м² · 1/2 этаж,14500000,Алматы,,1967.0,1,26.0,1.0,24 нояб.,2
1-комнатная квартира · 32 м² · 4/5 этаж,28000000,Алматы,,1975.0,1,32.0,4.0,24 нояб.,4652
2-комнатная квартира · 49 м² · 17/18 этаж,46000000,Алматы,,2023.0,2,49.0,17.0,24 нояб.,105
1-комнатная квартира · 39.7 м² · 8/13 этаж,26500000,Алматы,,2022.0,1,39.7,8.0,24 нояб.,2
1-комнатная квартира · 46.22 м² · 5/13 этаж,26000000,Алматы,,2024.0,1,46.22,5.0,24 нояб.,57
2-комнатная квартира · 70 м² · 10/14 этаж,63000000,Алматы,,2015.0,2,70.0,10.0,24 нояб.,0
2-комнатная квартира · 42.7 м² · 2/2 этаж,23500000,Алматы,,1958.0,2,42.7,2.0,24 нояб.,129
2-комнатная квартира · 71.9 м²,68305000,Алматы,,2024.0,2,71.9,,24 нояб.,7435
2-комнатная квартира · 73.2 м² · 8/16 этаж,60000000,Алматы,,2013.0,2,73.2,8.0,24 нояб.,693
3-комнатная квартира · 70 м² · 9/10 этаж,34000000,Алматы,,2022.0,3,70.0,9.0,24 нояб.,280
1-комнатная квартира · 40 м² · 2/6 этаж,21400000,Алматы,,2008.0,1,40.0,2.0,24 нояб.,1018
3-комнатная квартира · 113 м² · 3/11 этаж,70500000,Алматы,,2012.0,3,113.0,3.0,24 нояб.,164
3-комнатная квартира · 57 м² · 7/10 этаж,29990000,Алматы,,2020.0,3,57.0,7.0,24 нояб.,1950
2-комнатная квартира · 50 м² · 3/5 этаж,45000000,Алматы,,1988.0,2,50.0,3.0,24 нояб.,4243
2-комнатная квартира · 53 м² · 9/14 этаж,30999000,Алматы,,2017.0,2,53.0,9.0,24 нояб.,394
2-комнатная квартира · 43 м² · 2/3 этаж,28000000,Алматы,,1988.0,2,43.0,2.0,24 нояб.,651
1-комнатная квартира · 31.9 м² · 5/12 этаж,30500000,Алматы,,2023.0,1,31.9,5.0,24 нояб.,99
2-комнатная квартира · 39.6 м² · 14/16 этаж,44000000,Алматы,,2019.0,2,39.6,14.0,24 нояб.,1220
3-комнатная квартира · 116 м² · 13/15 этаж,90000000,Алматы,,2007.0,3,116.0,13.0,24 нояб.,92
2-комнатная квартира · 52 м² · 5/10 этаж,48000000,Алматы,,2019.0,2,52.0,5.0,24 нояб.,1952
3-комнатная квартира · 105 м² · 4/5 этаж,52500000,Алматы,,2024.0,3,105.0,4.0,24 нояб.,492
3-комнатная квартира · 62.4 м² · 1/4 этаж,42500000,Алматы,,1972.0,3,62.4,1.0,24 нояб.,608
2-комнатная квартира · 62 м² · 16/17 этаж,54000000,Алматы,,2020.0,2,62.0,16.0,24 нояб.,156
2-комнатная квартира · 81.6 м² · 15/16 этаж,41900000,Алматы,,2013.0,2,81.6,15.0,24 нояб.,478
2-комнатная квартира · 44 м² · 1/4 этаж,38000000,Алматы,,1965.0,2,44.0,1.0,24 нояб.,1203
4-комнатная квартира · 104.5 м² · 8/15 этаж,59000000,Алматы,,2023.0,4,104.5,8.0,24 нояб.,301
3-комнатная квартира · 94 м² · 8/9 этаж,57500000,Алматы,,2005.0,3,94.0,8.0,24 нояб.,181
3-комнатная квартира · 53.6 м² · 18/19 этаж,38000000,Алматы,,2011.0,3,53.6,18.0,24 нояб.,83
1-комнатная квартира · 58.7 м²,32872000,Алматы,,2023.0,1,58.7,,24 нояб.,8363
1-комнатная квартира · 47.45 м²,39383500,Алматы,,2025.0,1,47.45,,24 нояб.,432
3-комнатная квартира · 73 м² · 5/9 этаж,58000000,Алматы,,1979.0,3,73.0,5.0,24 нояб.,1
2-комнатная квартира · 48.5 м² · 10/12 этаж,24500000,Алматы,,2024.0,2,48.5,10.0,24 нояб.,177
2-комнатная квартира · 74 м² · 10/10 этаж,49000000,Алматы,,2019.0,2,74.0,10.0,24 нояб.,134
2-комнатная квартира · 51 м² · 3/3 этаж,24500000,Алматы,,1977.0,2,51.0,3.0,24 нояб.,70
2-комнатная квартира · 59.9 м²,23960000,Алматы,,2023.0,2,59.9,,24 нояб.,89043
2-комнатная квартира · 41.5 м² · 1/3 этаж,21000000,Алматы,,1966.0,2,41.5,1.0,24 нояб.,234
3-комнатная квартира · 116.45 м² · 6/12 этаж,84000000,Алматы,,2023.0,3,116.45,6.0,24 нояб.,1
2-комнатная квартира · 64.7 м² · 3/4 этаж,35500000,Алматы,,2023.0,2,64.7,3.0,24 нояб.,63
2-комнатная квартира · 64 м² · 13/13 этаж,47000000,Алматы,,2015.0,2,64.0,13.0,24 нояб.,0
1-комнатная квартира · 51 м² · 2/10 этаж,32700000,Алматы,,2022.0,1,51.0,2.0,24 нояб.,5
2-комнатная квартира · 74 м² · 16/16 этаж,47000000,Алматы,,2009.0,2,74.0,16.0,24 нояб.,88
2-комнатная квартира · 76.13 м²,60904000,Алматы,,2024.0,2,76.13,,24 нояб.,11643
4-комнатная квартира · 162.3 м²,163923000,Алматы,,2025.0,4,162.3,,24 нояб.,6401
1-комнатная квартира · 38.4 м² · 8/16 этаж,30000000,Алматы,,2020.0,1,38.4,8.0,24 нояб.,177
3-комнатная квартира · 60 м² · 4/4 этаж,34000000,Алматы,,1972.0,3,60.0,4.0,24 нояб.,52
2-комнатная квартира · 64 м² · 4/5 этаж,50000000,Алматы,,1977.0,2,64.0,4.0,24 нояб.,151
3-комнатная квартира · 72.2 м² · 10/18 этаж,40000000,Алматы,,2019.0,3,72.2,10.0,24 нояб.,2011
1-комнатная квартира · 33 м² · 1/5 этаж,29800000,Алматы,,1979.0,1,33.0,1.0,24 нояб.,292
4-комнатная квартира · 82 м² · 1/5 этаж,49990000,Алматы,,1986.0,4,82.0,1.0,24 нояб.,259
3-комнатная квартира · 80 м² · 21/21 этаж,98000000,Алматы,,2022.0,3,80.0,21.0,24 нояб.,1271
3-комнатная квартира · 82.6 м² · 2/9 этаж,65500000,Алматы,,1984.0,3,82.6,2.0,24 нояб.,3152
1-комнатная квартира · 21.3 м² · 1/10 этаж,10815000,Алматы,,2025.0,1,21.3,1.0,24 нояб.,1089
2-комнатная квартира · 60 м² · 3/5 этаж,34500000,Алматы,,1983.0,2,60.0,3.0,24 нояб.,46
3-комнатная квартира · 101.7 м² · 3/7 этаж,115000000,Алматы,,2024.0,3,101.7,3.0,24 нояб.,1423
3-комнатная квартира · 65 м² · 10/12 этаж,37900000,Алматы,,1991.0,3,65.0,10.0,24 нояб.,763
1-комнатная квартира · 29 м² · 4/4 этаж,25000000,Алматы,,1972.0,1,29.0,4.0,24 нояб.,219
2-комнатная квартира · 47 м² · 6/9 этаж,28200000,Алматы,,2024.0,2,47.0,6.0,24 нояб.,1311
2-комнатная квартира · 56 м² · 8/12 этаж,47100000,Алматы,,2017.0,2,56.0,8.0,24 нояб.,5267
2-комнатная квартира · 47 м² · 4/9 этаж,25000000,Алматы,,2010.0,2,47.0,4.0,24 нояб.,818
5-комнатная квартира · 234 м² · 4/8 этаж,380000006,Алматы,,2007.0,5,234.0,4.0,24 нояб.,3423
2-комнатная квартира · 68.7 м² · 6/9 этаж,35000000,Алматы,,2024.0,2,68.7,6.0,24 нояб.,2893
3-комнатная квартира · 87 м² · 16/17 этаж,59500000,Алматы,,2012.0,3,87.0,16.0,24 нояб.,5135
2-комнатная квартира · 62 м² · 12/13 этаж,49800000,Алматы,,2024.0,2,62.0,12.0,24 нояб.,2390
2-комнатная квартира · 43 м² · 3/9 этаж,24000000,Алматы,,2010.0,2,43.0,3.0,24 нояб.,668
3-комнатная квартира · 55 м² · 2/5 этаж,44000000,Алматы,,1976.0,3,55.0,2.0,24 нояб.,37
3-комнатная квартира · 105 м² · 2/7 этаж,115000000,Алматы,,2018.0,3,105.0,2.0,24 нояб.,302
2-комнатная квартира · 59 м² · 3/10 этаж,30500000,Алматы,,2019.0,2,59.0,3.0,24 нояб.,2088
4-комнатная квартира · 97.8 м² · 9/9 этаж,64000000,Алматы,,1992.0,4,97.8,9.0,24 нояб.,543
4-комнатная квартира · 84 м² · 5/5 этаж,44000000,Алматы,,1989.0,4,84.0,5.0,24 нояб.,1893
2-комнатная квартира · 65 м² · 7/10 этаж,42000000,Алматы,,2015.0,2,65.0,7.0,24 нояб.,543
3-комнатная квартира · 109.8 м² · 5/21 этаж,102000000,Алматы,,2023.0,3,109.8,5.0,24 нояб.,5571
2-комнатная квартира · 66 м² · 4/17 этаж,55000000,Алматы,,2013.0,2,66.0,4.0,24 нояб.,137
3-комнатная квартира · 70 м² · 6/9 этаж,65000000,Алматы,,1990.0,3,70.0,6.0,24 нояб.,825
1-комнатная квартира · 31 м² · 1/4 этаж,24000000,Алматы,,1967.0,1,31.0,1.0,24 нояб.,592
1-комнатная квартира · 40.4 м² · 2/9 этаж,26500000,Алматы,,1989.0,1,40.4,2.0,24 нояб.,625
2-комнатная квартира · 84 м² · 12/15 этаж,37500000,Алматы,,2012.0,2,84.0,12.0,24 нояб.,19
2-комнатная квартира · 53 м² · 9/10 этаж,51000000,Алматы,,2020.0,2,53.0,9.0,24 нояб.,186
2-комнатная квартира · 55.3 м² · 5/12 этаж,35500000,Алматы,,2021.0,2,55.3,5.0,24 нояб.,252
2-комнатная квартира · 70 м² · 5/7 этаж,42000000,Алматы,,2023.0,2,70.0,5.0,24 нояб.,116
3-комнатная квартира · 69.3 м² · 1/5 этаж,43000000,Алматы,,1987.0,3,69.3,1.0,24 нояб.,1057
2-комнатная квартира · 75 м² · 3/9 этаж,69999999,Алматы,,1994.0,2,75.0,3.0,24 нояб.,1132
3-комнатная квартира · 163.46 м²,269709000,Алматы,,2026.0,3,163.46,,24 нояб.,1178
2-комнатная квартира · 97 м²,63050000,Алматы,,2022.0,2,97.0,,24 нояб.,16695
2-комнатная квартира · 69.2 м²,693821633,Коксай (Путь Ильича),,2025.0,2,69.2,,24 нояб.,5822
2-комнатная квартира · 59.36 м²,30867200,Алматы,,2025.0,2,59.36,,24 нояб.,5806
2-комнатная квартира · 111 м²,72150000,Алматы,,2022.0,2,111.0,,24 нояб.,9967
2-комнатная квартира · 83.8 м²,55308000,Алматы,,2025.0,2,83.8,,24 нояб.,2332
1-комнатная квартира · 37.2 м² · 5/5 этаж,32000000,Алматы,,1976.0,1,37.2,5.0,24 нояб.,1199
1-комнатная квартира · 45 м² · 1/9 этаж,26999000,Алматы,,2016.0,1,45.0,1.0,24 нояб.,183
4-комнатная квартира · 95.5 м² · 2/5 этаж,56000000,Алматы,,1995.0,4,95.5,2.0,24 нояб.,403
1-комнатная квартира · 48.7 м² · 9/10 этаж,34444444,Алматы,,2008.0,1,48.7,9.0,24 нояб.,2300
1-комнатная квартира · 44.16 м² · 12/12 этаж,24000000,Алматы,,2025.0,1,44.16,12.0,24 нояб.,1574
2-комнатная квартира · 56.6 м² · 1/13 этаж,45000000,Алматы,,2021.0,2,56.6,1.0,24 нояб.,194
4-комнатная квартира · 83 м² · 5/5 этаж,49900000,Алматы,,1993.0,4,83.0,5.0,24 нояб.,108
5-комнатная квартира · 260 м² · 9/9 этаж,277918911,Алматы,,2004.0,5,260.0,9.0,24 нояб.,397
3-комнатная квартира · 130 м² · 15/18 этаж,75000000,Алматы,,2008.0,3,130.0,15.0,24 нояб.,199
2-комнатная квартира · 110 м² · 5/8 этаж,90000000,Алматы,,2010.0,2,110.0,5.0,24 нояб.,2019
3-комнатная квартира · 84.4 м² · 1/12 этаж,59850000,Алматы,,2024.0,3,84.4,1.0,24 нояб.,635
2-комнатная квартира · 46.4 м² · 4/4 этаж,28000000,Алматы,,1967.0,2,46.4,4.0,24 нояб.,817
4-комнатная квартира · 96 м² · 9/9 этаж,64000000,Алматы,,1992.0,4,96.0,9.0,24 нояб.,63
2-комнатная квартира · 102 м² · 8/8 этаж,87000000,Алматы,,2012.0,2,102.0,8.0,24 нояб.,1324
3-комнатная квартира · 87 м² · 5/6 этаж,33000000,Алматы,,2015.0,3,87.0,5.0,24 нояб.,896
2-комнатная квартира · 67 м² · 1/6 этаж,31000000,Алматы,,2013.0,2,67.0,1.0,24 нояб.,360
2-комнатная квартира · 52 м² · 8/9 этаж,45500000,Алматы,,2011.0,2,52.0,8.0,24 нояб.,1580
4-комнатная квартира · 181 м² · 2/4 этаж,245000000,Алматы,,2008.0,4,181.0,2.0,24 нояб.,3707
3-комнатная квартира · 147 м² · 1/6 этаж,145000000,Алматы,,2012.0,3,147.0,1.0,24 нояб.,348
1-комнатная квартира · 39.4 м² · 8/8 этаж,35000000,Алматы,,1990.0,1,39.4,8.0,24 нояб.,736
3-комнатная квартира · 110 м² · 8/10 этаж,130000000,Алматы,,2022.0,3,110.0,8.0,24 нояб.,525
3-комнатная квартира · 75.67 м²,43131900,Алматы,,2024.0,3,75.67,,24 нояб.,48518
2-комнатная квартира · 57.5 м²,56066500,Алматы,,2024.0,2,57.5,,24 нояб.,18835
4-комнатная квартира · 112 м²,98560000,Алматы,,2024.0,4,112.0,,24 нояб.,28288
2-комнатная квартира · 44.1 м² · 1/5 этаж,25500000,Алматы,,1980.0,2,44.1,1.0,24 нояб.,504
3-комнатная квартира · 87.8 м²,54875000,Алматы,Алмалинский,2025.0,3,87.8,,24 нояб.,7724
3-комнатная квартира · 124 м² · 5/18 этаж,84500000,Алматы,,2015.0,3,124.0,5.0,24 нояб.,583
2-комнатная квартира · 42 м² · 3/9 этаж,25500000,Алматы,,2011.0,2,42.0,3.0,24 нояб.,486
3-комнатная квартира · 86.7 м² · 2/13 этаж,56000000,Алматы,,2018.0,3,86.7,2.0,24 нояб.,1523
1-комнатная квартира · 47 м² · 4/9 этаж,65000000,Алматы,,2021.0,1,47.0,4.0,24 нояб.,5805
3-комнатная квартира · 72 м² · 2/3 этаж,65000000,Алматы,,2023.0,3,72.0,2.0,24 нояб.,862
2-комнатная квартира · 60 м² · 9/10 этаж,40000000,Алматы,,2007.0,2,60.0,9.0,24 нояб.,190
2-комнатная квартира · 50 м² · 13/16 этаж,56000000,Алматы,,2022.0,2,50.0,13.0,24 нояб.,110
3-комнатная квартира · 77 м² · 1/5 этаж,58000000,Алматы,,1982.0,3,77.0,1.0,24 нояб.,2411
2-комнатная квартира · 54 м² · 11/13 этаж,48000000,Алматы,,2020.0,2,54.0,11.0,24 нояб.,1126
2-комнатная квартира · 46.1 м² · 4/4 этаж,25500000,Алматы,,1967.0,2,46.1,4.0,24 нояб.,1612
3-комнатная квартира · 56 м² · 1/3 этаж,27000000,Алматы,,1961.0,3,56.0,1.0,24 нояб.,1603
2-комнатная квартира · 52 м² · 7/9 этаж,43500000,Алматы,,1978.0,2,52.0,7.0,24 нояб.,575
1-комнатная квартира · 46.6 м² · 11/13 этаж,25500000,Алматы,,2024.0,1,46.6,11.0,24 нояб.,189
2-комнатная квартира · 55 м² · 3/12 этаж,32700000,Алматы,,2018.0,2,55.0,3.0,24 нояб.,209
3-комнатная квартира · 110 м² · 1/5 этаж,105000000,Алматы,,2010.0,3,110.0,1.0,24 нояб.,1960
1-комнатная квартира · 31.5 м² · 1/4 этаж,21900000,Алматы,,1968.0,1,31.5,1.0,24 нояб.,1097
2-комнатная квартира · 65 м² · 5/9 этаж,48000000,Алматы,,2005.0,2,65.0,5.0,24 нояб.,629
2-комнатная квартира · 46 м² · 9/12 этаж,40500000,Алматы,,2023.0,2,46.0,9.0,24 нояб.,542
2-комнатная квартира · 45 м² · 1/5 этаж,32000000,Алматы,,1965.0,2,45.0,1.0,24 нояб.,28
3-комнатная квартира · 115 м² · 11/13 этаж,89785000,Алматы,,2015.0,3,115.0,11.0,24 нояб.,287
1-комнатная квартира · 40 м² · 1/5 этаж,28500000,Алматы,,1995.0,1,40.0,1.0,24 нояб.,1013
2-комнатная квартира · 66.7 м² · 6/12 этаж,64000000,Алматы,,2014.0,2,66.7,6.0,24 нояб.,999
2-комнатная квартира · 51 м² · 5/5 этаж,34000000,Алматы,,1987.0,2,51.0,5.0,24 нояб.,801
3-комнатная квартира · 60 м² · 2/4 этаж,32500000,Алматы,,1965.0,3,60.0,2.0,24 нояб.,1262
3-комнатная квартира · 62 м² · 4/5 этаж,45600000,Алматы,,1975.0,3,62.0,4.0,24 нояб.,10483
2-комнатная квартира · 43.6 м² · 1/3 этаж,25000000,Алматы,,1960.0,2,43.6,1.0,24 нояб.,1995
3-комнатная квартира · 62.4 м² · 7/9 этаж,38500000,Алматы,,1976.0,3,62.4,7.0,24 нояб.,92
4-комнатная квартира · 130 м² · 10/16 этаж,115000000,Алматы,,2004.0,4,130.0,10.0,24 нояб.,2475
3-комнатная квартира · 80 м² · 12/18 этаж,45000000,Алматы,,2023.0,3,80.0,12.0,24 нояб.,288
3-комнатная квартира · 80 м² · 1/13 этаж,56500000,Алматы,,2020.0,3,80.0,1.0,24 нояб.,653
3-комнатная квартира · 58 м² · 3/4 этаж,32500000,Алматы,,1969.0,3,58.0,3.0,24 нояб.,1058
4-комнатная квартира · 113.87 м²,54315990,Алматы,,2025.0,4,113.87,,24 нояб.,4734
3-комнатная квартира · 101.07 м²,76813200,Алматы,,2024.0,3,101.07,,24 нояб.,13816
1-комнатная квартира · 48.98 м²,51918800,Алматы,,2025.0,1,48.98,,24 нояб.,2728
4-комнатная квартира · 106.4 м²,63309330,Алматы,,2025.0,4,106.4,,24 нояб.,11547
2-комнатная квартира · 64 м² · 8/13 этаж,43800000,Алматы,,2021.0,2,64.0,8.0,24 нояб.,214
4-комнатная квартира · 90.1 м² · 3/5 этаж,65400000,Алматы,Медеуский,1978.0,4,90.1,3.0,24 нояб.,12
3-комнатная квартира · 94 м² · 3/10 этаж,64000000,Алматы,,2011.0,3,94.0,3.0,24 нояб.,4582
1-комнатная квартира · 41 м² · 5/5 этаж,21000000,Алматы,,2006.0,1,41.0,5.0,24 нояб.,543
3-комнатная квартира · 71 м² · 1/9 этаж,46000000,Алматы,,1986.0,3,71.0,1.0,24 нояб.,90
2-комнатная квартира · 82 м² · 3/9 этаж,48000000,Алматы,,2013.0,2,82.0,3.0,24 нояб.,127
1-комнатная квартира · 32.8 м² · 2/5 этаж,22000000,Алматы,,1979.0,1,32.8,2.0,24 нояб.,285
3-комнатная квартира · 65 м² · 4/5 этаж,53500000,Алматы,,1978.0,3,65.0,4.0,24 нояб.,89
3-комнатная квартира · 140 м² · 15/20 этаж,80000000,Алматы,,2011.0,3,140.0,15.0,24 нояб.,341
2-комнатная квартира · 54 м² · 3/4 этаж,39500000,Алматы,,1969.0,2,54.0,3.0,24 нояб.,267
3-комнатная квартира · 76.1 м² · 7/8 этаж,78500000,Алматы,,2019.0,3,76.1,7.0,24 нояб.,2123
3-комнатная квартира · 88.1 м² · 5/16 этаж,61100000,Алматы,,2008.0,3,88.1,5.0,24 нояб.,84
2-комнатная квартира · 50 м² · 4/6 этаж,50000000,Алматы,,2018.0,2,50.0,4.0,24 нояб.,183
1-комнатная квартира · 18.7 м² · 2/4 этаж,13500000,Алматы,,1964.0,1,18.7,2.0,24 нояб.,4983
2-комнатная квартира · 44.5 м² · 2/4 этаж,26000000,Алматы,,1968.0,2,44.5,2.0,24 нояб.,255
3-комнатная квартира · 104.5 м² · 12/16 этаж,58000000,Алматы,,2023.0,3,104.5,12.0,24 нояб.,2
3-комнатная квартира · 113.8 м² · 6/6 этаж,84000000,Алматы,,2010.0,3,113.8,6.0,24 нояб.,1652
3-комнатная квартира · 86 м² · 7/9 этаж,50000000,Алматы,,2015.0,3,86.0,7.0,24 нояб.,343
3-комнатная квартира · 59 м² · 3/5 этаж,37900000,Алматы,,1975.0,3,59.0,3.0,24 нояб.,300
3-комнатная квартира · 65 м² · 2/4 этаж,42500000,Алматы,,1964.0,3,65.0,2.0,24 нояб.,368
4-комнатная квартира · 92 м² · 9/12 этаж,56000000,Алматы,,1991.0,4,92.0,9.0,24 нояб.,1994
2-комнатная квартира · 65 м² · 3/13 этаж,58000000,Алматы,,2021.0,2,65.0,3.0,24 нояб.,129
2-комнатная квартира · 44 м² · 4/4 этаж,28000000,Алматы,,1966.0,2,44.0,4.0,24 нояб.,7
2-комнатная квартира · 62 м² · 6/10 этаж,40000000,Алматы,,2022.0,2,62.0,6.0,24 нояб.,800
1-комнатная квартира · 31.1 м² · 2/4 этаж,22250000,Алматы,,1969.0,1,31.1,2.0,24 нояб.,258
1-комнатная квартира · 34 м² · 5/5 этаж,23500000,Алматы,,1984.0,1,34.0,5.0,24 нояб.,2796
1-комнатная квартира · 30.5 м² · 2/4 этаж,28500000,Алматы,,1965.0,1,30.5,2.0,24 нояб.,939
1-комнатная квартира · 45 м² · 17/18 этаж,32000000,Алматы,,2012.0,1,45.0,17.0,24 нояб.,199
